Source,IslandID,TaxonOrig,GenusL69,SpeciesL69,,SpeciesID,SubspID,Sex,Plumage,,WingL,,,BeakH,,UBeakL,NUBkL
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,77,,,19,,22,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,75,,,17,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,74,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,81,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,75,,,0,,0,15
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,81,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,79,,,0,,21,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,81,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,81,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,79,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,82,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,79,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,83,,,20,,22,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,77,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,81,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,83,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,81,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,83,,,19,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,85,,,20,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,84,,,21,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,83,,,17,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,80,,,19,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,76,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,79,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,77,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,78,,,17,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,82,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,77,,,20,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,81,,,19,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,76,,,19,,21,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,18,,0,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,75,,,0,,22,0
Lack CAS,Mrch_Bndl,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,77,,,19,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,82,,,20,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,0,,22,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,81,,,19,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,84,,,21,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,86,,,20,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,88,,,20,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,82,,,0,,22,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,87,,,19,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,82,,,21,,23,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,84,,,19,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,84,,,21,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,83,,,20,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,84,,,20,,0,0
Lack CAS,Snti_Jams,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,85,,,21,,22,0
